date,avg_trend_score,strong_momentum,total_uptrends,breakout_alerts,nifty_price,fwd_return_21d,fwd_return_30d,fwd_return_60d,fwd_return_90d,score_bin,score_change
2025-11-16,62.0,90,115,16,26013.44921875,-0.2,-0.59,-1.23,,55-65 (Bullish),-2.0
2025-11-17,65.0,89,109,9,26013.44921875,-0.2,-0.75,-1.23,,55-65 (Bullish),3.0
2025-11-18,74.0,109,135,24,25910.05078125,-0.27,-0.36,-1.25,,65+ (Strong Bull),9.0
2025-11-19,73.0,126,197,17,26052.650390625,-1.13,-0.33,-1.79,,65+ (Strong Bull),-1.0
2025-11-20,72.0,113,159,15,26192.150390625,-1.12,-0.08,-2.32,,65+ (Strong Bull),-1.0
2025-11-21,69.0,95,131,23,26068.150390625,-0.08,0.4,-3.21,,65+ (Strong Bull),-3.0
2025-11-22,66.0,116,190,20,25959.5,0.26,0.82,-3.09,,65+ (Strong Bull),-3.0
2025-11-23,67.0,93,144,19,25959.5,0.26,0.84,-2.58,,65+ (Strong Bull),1.0
2025-11-24,68.0,118,183,18,25959.5,0.26,0.7,-3.51,,65+ (Strong Bull),1.0
2025-11-25,62.0,87,130,22,25884.80078125,-0.1,0.61,-2.74,,55-65 (Bullish),-6.0
2025-11-26,72.0,104,140,16,26205.30078125,-1.48,-0.62,-3.93,,65+ (Strong Bull),10.0
2025-11-27,69.0,100,149,18,26215.55078125,-1.53,-1.04,-3.97,,65+ (Strong Bull),-3.0
2025-11-28,65.0,105,171,12,26202.94921875,-0.9,-1.0,-3.92,,55-65 (Bullish),-4.0
2025-11-29,73.0,127,188,26,26175.75,-0.01,-0.89,-3.18,,65+ (Strong Bull),8.0
2025-11-30,70.0,114,169,16,26175.75,-0.01,-0.91,-2.89,,65+ (Strong Bull),-3.0
2025-12-01,62.0,92,113,16,26175.75,-0.01,-0.18,-3.27,,55-65 (Bullish),-8.0
2025-12-02,69.0,126,198,17,26032.19921875,0.56,0.44,-3.63,,65+ (Strong Bull),7.0
2025-12-03,72.0,128,200,19,25986.0,0.6,1.32,-3.45,,65+ (Strong Bull),3.0
2025-12-04,71.0,112,181,23,26033.75,0.03,0.83,-3.63,,65+ (Strong Bull),-1.0
2025-12-05,68.0,115,175,21,26186.44921875,-0.55,0.24,-1.75,,65+ (Strong Bull),-3.0
2025-12-06,62.0,105,164,17,25960.55078125,-0.07,1.12,-0.82,,55-65 (Bullish),-6.0
2025-12-07,69.0,106,187,13,25960.55078125,-0.07,0.84,,,65+ (Strong Bull),7.0
2025-12-08,57.0,85,98,7,25960.55078125,-0.07,0.69,,,55-65 (Bullish),-12.0
2025-12-09,56.0,78,97,7,25839.650390625,0.38,0.14,,,55-65 (Bullish),-1.0
2025-12-10,53.0,72,128,17,25758.0,1.44,-0.29,,,45-55 (Neutral),-3.0
2025-12-11,51.0,42,50,5,25898.55078125,0.96,-0.42,,,45-55 (Neutral),-2.0
2025-12-12,73.0,135,202,21,26046.94921875,1.08,-0.99,,,65+ (Strong Bull),22.0
2025-12-13,67.0,115,189,19,26027.30078125,0.86,-0.91,,,65+ (Strong Bull),-6.0
2025-12-14,68.0,91,124,21,26027.30078125,0.86,-1.13,,,65+ (Strong Bull),1.0
2025-12-15,59.0,70,77,10,26027.30078125,0.86,-1.39,,,55-65 (Bullish),-9.0
2025-12-16,55.0,54,71,13,25860.099609375,1.23,-0.64,,,45-55 (Neutral),-4.0
2025-12-17,59.0,73,114,8,25818.55078125,1.25,-0.48,,,55-65 (Bullish),4.0
2025-12-18,57.0,67,123,9,25815.55078125,0.24,-0.89,,,55-65 (Bullish),-2.0
2025-12-19,58.0,91,143,21,25966.400390625,-1.09,-1.47,,,55-65 (Bullish),1.0
2025-12-20,57.0,68,115,17,26172.400390625,-1.46,-2.24,,,55-65 (Bullish),-1.0
2025-12-21,58.0,83,95,17,26172.400390625,-1.46,-3.59,,,55-65 (Bullish),1.0
2025-12-22,70.0,94,138,9,26172.400390625,-1.46,-3.88,,,65+ (Strong Bull),12.0
2025-12-23,61.0,86,122,10,26177.150390625,-1.7,-3.39,,,55-65 (Bullish),-9.0
2025-12-24,69.0,116,187,19,26142.099609375,-1.82,-4.18,,,65+ (Strong Bull),8.0
2025-12-25,61.0,87,134,14,26042.30078125,-1.34,-3.33,,,55-65 (Bullish),-8.0
2025-12-26,68.0,123,180,27,26042.30078125,-1.34,-3.33,,,65+ (Strong Bull),7.0
2025-12-27,68.0,118,162,21,25942.099609375,-1.37,-2.96,,,65+ (Strong Bull),0.0
2025-12-28,71.0,112,185,17,25942.099609375,-1.37,-2.96,,,65+ (Strong Bull),3.0
2025-12-29,56.0,65,86,10,25942.099609375,-1.37,-2.31,,,55-65 (Bullish),-15.0
2025-12-30,62.0,93,160,19,25938.849609375,-2.72,-2.0,,,55-65 (Bullish),6.0
2025-12-31,63.0,90,123,8,26129.599609375,-3.72,-3.1,,,55-65 (Bullish),1.0
2026-01-01,67.0,83,107,21,26146.55078125,-3.28,-4.05,,,65+ (Strong Bull),4.0
2026-01-02,63.0,98,126,13,26328.55078125,-4.86,-4.71,,,55-65 (Bullish),-4.0
2026-01-03,67.0,96,116,17,26250.30078125,-4.09,-4.43,,,65+ (Strong Bull),4.0
2026-01-04,64.0,99,173,22,26250.30078125,-4.09,-1.99,,,55-65 (Bullish),-3.0
2026-01-05,63.0,92,157,11,26250.30078125,-4.09,-1.92,,,55-65 (Bullish),-1.0
2026-01-06,61.0,91,161,20,26178.69921875,-3.83,,,,55-65 (Bullish),-2.0
2026-01-07,60.0,81,91,17,26140.75,-3.05,,,,55-65 (Bullish),-1.0
2026-01-08,55.0,72,113,18,25876.849609375,-1.77,,,,45-55 (Neutral),-5.0
2026-01-09,50.0,61,76,8,25683.30078125,-1.41,,,,45-55 (Neutral),-5.0
2026-01-10,51.0,42,78,5,25790.25,-2.72,,,,45-55 (Neutral),1.0
2026-01-11,42.0,24,50,5,25790.25,-2.72,,,,35-45 (Weak),-9.0
2026-01-12,48.0,45,91,11,25790.25,-2.72,,,,45-55 (Neutral),6.0
2026-01-13,59.0,58,89,15,25732.30078125,-0.02,,,,55-65 (Bullish),11.0
2026-01-14,56.0,73,114,8,25665.599609375,0.32,,,,55-65 (Bullish),-3.0
2026-01-15,59.0,91,109,18,25694.349609375,,,,,55-65 (Bullish),3.0
2026-01-16,49.0,65,102,9,25694.349609375,,,,,45-55 (Neutral),-10.0
2026-01-17,50.0,63,93,7,25585.5,,,,,45-55 (Neutral),1.0
2026-01-18,45.0,25,50,12,25585.5,,,,,35-45 (Weak),-5.0
2026-01-19,58.0,68,97,5,25585.5,,,,,55-65 (Bullish),13.0
2026-01-20,35.8,65,146,28,25232.5,,,,,35-45 (Weak),-22.200000000000003
2026-01-22,37.1,76,153,41,25289.900390625,,,,,35-45 (Weak),1.3000000000000043
2026-01-23,37.1,76,153,41,25048.650390625,,,,,35-45 (Weak),0.0
2026-01-24,33.3,56,132,28,25175.400390625,,,,,0-35 (Bearish),-3.8000000000000043
2026-02-02,36.8,71,151,27,25088.400390625,,,,,35-45 (Weak),3.5
2026-02-04,43.9,114,180,55,25747.30078125,,,,,35-45 (Weak),7.100000000000001
