Company Name,Ticker,Sector
Global Health Limited,MEDANTA,Hospital
Jaiprakash Power Ventures Limited,JPPOWER,Power Generation
Whirlpool of India Limited,WHIRLPOOL,Household Appliances
Welspun Living Limited,WELSPUNLIV,Other Textile Products
Alok Industries Limited,ALOKINDS,Other Textile Products
Intellect Design Arena Limited,INTELLECT,Computers - Software & Consulting
Swiggy Limited,SWIGGY,E-Retail/ E-Commerce
Berger Paints (I) Limited,BERGEPAINT,Paints
JK Tyre & Industries Limited,JKTYRE,Tyres & Rubber Products
Aavas Financiers Limited,AAVAS,Housing Finance Company
Zensar Technologies Limited,ZENSARTECH,Computers - Software & Consulting
Transformers And Rectifiers (India) Limited,TARIL,Heavy Electrical Equipment
L&T Technology Services Limited,LTTS,IT Enabled Services
Ajanta Pharma Limited,AJANTPHARM,Pharmaceuticals
Chennai Petroleum Corporation Limited,CHENNPETRO,Refineries & Marketing
Usha Martin Limited,USHAMART,Iron & Steel Products
Firstsource Solutions Limited,FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Star Health and Allied Insurance Company Limited,STARHEALTH,General Insurance
eClerx Services Limited,ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,Investment Company
PVR INOX Limited,PVRINOX,Film Production Distribution & Exhibition
Anant Raj Limited,ANANTRAJ,Residential Commercial Projects
Nuvama Wealth Management Limited,NUVAMA,Stockbroking & Allied
LTIMindtree Limited,LTIM,Computers - Software & Consulting
Can Fin Homes Limited,CANFINHOME,Housing Finance Company
Sarda Energy & Minerals Limited,SARDAEN,Iron & Steel
PNB Housing Finance Limited,PNBHOUSING,Housing Finance Company
Acme Solar Holdings Limited,ACMESOLAR,Power Generation
Timken India Limited,TIMKEN,Abrasives & Bearings
CREDITACCESS GRAMEEN LIMITED,CREDITACC,Microfinance Institutions
Indian Energy Exchange Limited,IEX,Exchange and Data Platform
Motilal Oswal Financial Services Limited,MOTILALOFS,Stockbroking & Allied
Dixon Technologies (India) Limited,DIXON,Consumer Electronics
Honasa Consumer Limited,HONASA,Personal Care
GE Vernova T&D India Limited,GVT&D,Heavy Electrical Equipment
Caplin Point Laboratories Limited,CAPLIPOINT,Pharmaceuticals
HFCL Limited,HFCL,Telecom - Infrastructure
Coforge Limited,COFORGE,Computers - Software & Consulting
Brainbees Solutions Limited,FIRSTCRY,E-Retail/ E-Commerce
JBM Auto Limited,JBMA,Auto Components & Equipments
Reliance Power Limited,RPOWER,Power Generation
Surya Roshni Limited,SURYAROSNI,Consumer Durables
